江南style
16, 402, 116580, 65535
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
59, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
60, 1, 220, 220, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
61, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
62, 1, 220, 240, 18, 7, 39, 171, 168, 150, 92, 58, 54, 123, 93, 120, 131, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
63, 1, 220, 240, 38, 7, 39, 141, 168, 150, 92, 43, 43, 121, 90, 121, 126, 116, 70, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
64, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
65, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
66, 1, 220, 240, 22, 12, 24, 153, 178, 155, 58, 58, 75, 110, 128, 84, 124, 117, 67, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
67, 1, 220, 240, 41, 12, 31, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
68, 1, 220, 240, 88, 132, 129, 154, 168, 165, 92, 58, 54, 122, 92, 120, 126, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
69, 1, 220, 240, 88, 157, 134, 141, 168, 150, 92, 43, 43, 122, 92, 121, 126, 116, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
70, 1, 220, 220, 88, 132, 129, 154, 168, 165, 92, 58, 54, 122, 92, 120, 126, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
71, 1, 220, 240, 88, 157, 134, 141, 168, 150, 92, 43, 43, 122, 92, 121, 126, 116, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
72, 1, 220, 240, 88, 132, 129, 153, 178, 155, 61, 60, 75, 110, 128, 84, 122, 117, 65, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
73, 1, 220, 240, 88, 157, 134, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
74, 1, 220, 240, 88, 132, 129, 153, 178, 155, 61, 60, 75, 110, 128, 84, 122, 117, 65, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
75, 1, 220, 240, 88, 157, 134, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
76, 1, 220, 240, 88, 132, 129, 154, 168, 165, 92, 58, 54, 122, 92, 120, 126, 123, 67, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
77, 1, 220, 240, 88, 157, 134, 141, 168, 150, 92, 43, 43, 122, 92, 121, 126, 116, 71, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
78, 1, 220, 240, 88, 132, 129, 153, 178, 155, 61, 60, 75, 110, 128, 84, 122, 117, 65, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
79, 1, 220, 240, 88, 157, 134, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
80, 1, 220, 220, 88, 132, 129, 153, 178, 155, 61, 60, 75, 110, 128, 84, 122, 117, 65, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
81, 1, 220, 240, 88, 157, 134, 141, 178, 145, 61, 63, 72, 111, 121, 85, 132, 139, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 255, 255 
