?????style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,402,116580,65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seq, Enabled, Servo time, Wait time, 1:Angle, 2:Angle, 3:Angle, 4:Angle, 5:Angle, 6:Angle, 7:Angle, 8:Angle, 9:Angle, 10:Angle, 11:Angle, 12:Angle, 13:Angle, 14:Angle, 15:Angle, 16:Angle, 1:LED, 2:LED, 3:LED, 4:LED, 5:LED, 6:LED, 7:LED, 8:LED, 9:LED, 10:LED, 11:LED, 12:LED, 13:LED, 14:LED, 15:LED, 16:LED, Head LED, MP3 folder, MP3 file, MP3 volume
103,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
104,1,220,240,128,28,101,174,12,25,118,58,114,152,122,90,186,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
105,1,220,240,128,3,96,161,12,40,118,43,103,152,122,89,186,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
106,1,220,240,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
107,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
108,1,220,240,128,28,101,173,2,35,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
109,1,220,240,128,3,96,161,2,45,149,63,132,141,151,125,192,139,85,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
110,1,220,220,82,129,216,95,158,145,118,60,114,154,120,90,184,123,97,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
111,1,220,240,54,133,216,110,150,129,118,45,103,154,120,89,184,116,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
112,1,220,240,85,127,199,90,133,140,149,60,135,140,158,126,182,117,95,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255
